layer_id,module_name,cout_channel,bias_int,bias_bits_needed,shift,sx,sw,sy,real_multiplier,pow2_multiplier,relative_error,relu_en,rounding_en
4,conv2.2.0,0,3216,13,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,1,7562,14,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,2,-519,11,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,3,-234,9,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,4,1346,12,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,5,3595,13,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,6,1346,12,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,7,-10,5,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,8,-592,11,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,9,680,11,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,10,-1195,12,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,11,2706,13,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,12,4908,14,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,13,-1773,12,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,14,4357,14,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,15,-1084,12,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,16,3298,13,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,17,-1442,12,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,18,6192,14,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,19,739,11,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,20,4679,14,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,21,1300,12,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,22,4624,14,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,23,3220,13,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,24,1195,12,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,25,1949,12,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,26,-1185,12,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,27,342,10,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,28,3643,13,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,29,1277,12,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,30,1837,12,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
4,conv2.2.0,31,930,11,9,0.07131460309028625,0.0025416556745767593,0.08460211008787155,0.0021424662509759336,0.001953125,0.08837537155588103,True,True
