layer_id,module_name,channel,folded_bias_fp32
0,conv_input.0,0,0.2264079749584198
0,conv_input.0,1,0.11181861162185669
0,conv_input.0,2,0.708792507648468
0,conv_input.0,3,0.10345802456140518
0,conv_input.0,4,0.571370542049408
0,conv_input.0,5,-0.4045715630054474
0,conv_input.0,6,0.2477983683347702
0,conv_input.0,7,-0.6722195148468018
0,conv_input.0,8,-0.9071894288063049
0,conv_input.0,9,-0.3692554235458374
0,conv_input.0,10,0.041280072182416916
0,conv_input.0,11,-0.9601483345031738
0,conv_input.0,12,-0.3943459093570709
0,conv_input.0,13,0.8810308575630188
0,conv_input.0,14,0.4747752845287323
0,conv_input.0,15,-0.31263285875320435
1,conv1.0.0,0,0.7452781796455383
1,conv1.0.0,1,0.905916690826416
1,conv1.0.0,2,0.20734983682632446
1,conv1.0.0,3,-0.9940550327301025
1,conv1.0.0,4,0.23515766859054565
1,conv1.0.0,5,0.017551466822624207
1,conv1.0.0,6,0.7334915995597839
1,conv1.0.0,7,0.4793774485588074
1,conv1.0.0,8,0.5960769653320312
1,conv1.0.0,9,1.076682686805725
1,conv1.0.0,10,-0.3346269428730011
1,conv1.0.0,11,-0.14693671464920044
1,conv1.0.0,12,1.0346345901489258
1,conv1.0.0,13,0.3723391890525818
1,conv1.0.0,14,0.3812031149864197
1,conv1.0.0,15,1.0224651098251343
2,conv2.0.0,0,0.07056249678134918
2,conv2.0.0,1,0.35347068309783936
2,conv2.0.0,2,0.32927554845809937
2,conv2.0.0,3,0.1753845363855362
2,conv2.0.0,4,0.7866779565811157
2,conv2.0.0,5,-0.1768542230129242
2,conv2.0.0,6,1.5941869020462036
2,conv2.0.0,7,0.3121676445007324
2,conv2.0.0,8,0.9985877275466919
2,conv2.0.0,9,-0.009820401668548584
2,conv2.0.0,10,-0.11134546995162964
2,conv2.0.0,11,-0.06006038188934326
2,conv2.0.0,12,-0.02102634310722351
2,conv2.0.0,13,-0.26193922758102417
2,conv2.0.0,14,0.18145033717155457
2,conv2.0.0,15,-0.14563247561454773
2,conv2.0.0,16,-0.20609788596630096
2,conv2.0.0,17,1.1218376159667969
2,conv2.0.0,18,1.2695152759552002
2,conv2.0.0,19,-0.1845811903476715
2,conv2.0.0,20,0.1818845570087433
2,conv2.0.0,21,0.0431477427482605
2,conv2.0.0,22,0.010575532913208008
2,conv2.0.0,23,-0.03369113802909851
2,conv2.0.0,24,-0.16931961476802826
2,conv2.0.0,25,0.221839040517807
2,conv2.0.0,26,0.16881516575813293
2,conv2.0.0,27,0.18777872622013092
2,conv2.0.0,28,-0.27634119987487793
2,conv2.0.0,29,1.0142768621444702
2,conv2.0.0,30,-0.23141944408416748
2,conv2.0.0,31,-0.09787710011005402
3,conv2.1.0,0,-0.13212567567825317
3,conv2.1.0,1,-0.5491071939468384
3,conv2.1.0,2,1.7426820993423462
3,conv2.1.0,3,0.593417763710022
3,conv2.1.0,4,1.4158846139907837
3,conv2.1.0,5,0.7973428964614868
3,conv2.1.0,6,0.356364905834198
3,conv2.1.0,7,0.4805176854133606
3,conv2.1.0,8,0.6407166719436646
3,conv2.1.0,9,1.2448093891143799
3,conv2.1.0,10,1.4175866842269897
3,conv2.1.0,11,-0.24778702855110168
3,conv2.1.0,12,-0.3385660648345947
3,conv2.1.0,13,1.1077581644058228
3,conv2.1.0,14,0.40760186314582825
3,conv2.1.0,15,0.7836311459541321
3,conv2.1.0,16,-1.524933099746704
3,conv2.1.0,17,0.8198487162590027
3,conv2.1.0,18,0.4675130248069763
3,conv2.1.0,19,0.9960347414016724
3,conv2.1.0,20,0.7122929096221924
3,conv2.1.0,21,0.18214759230613708
