layer_id,module_name,channel,weight_scale,zero_point,qmin,qmax
0,conv_input.0,0,0.001212965464219451,0,-127,127
0,conv_input.0,1,0.0019238172098994255,0,-127,127
0,conv_input.0,2,0.04771330580115318,0,-127,127
0,conv_input.0,3,0.00046784826554358006,0,-127,127
0,conv_input.0,4,0.00029505902784876525,0,-127,127
0,conv_input.0,5,0.004640366416424513,0,-127,127
0,conv_input.0,6,0.0004281940055079758,0,-127,127
0,conv_input.0,7,0.0023325744550675154,0,-127,127
0,conv_input.0,8,0.006580378860235214,0,-127,127
0,conv_input.0,9,0.0044297208078205585,0,-127,127
0,conv_input.0,10,0.000971502042375505,0,-127,127
0,conv_input.0,11,0.004717537201941013,0,-127,127
0,conv_input.0,12,0.004777270834892988,0,-127,127
0,conv_input.0,13,0.0012246150290593505,0,-127,127
0,conv_input.0,14,0.00039559995639137924,0,-127,127
0,conv_input.0,15,0.0026297790464013815,0,-127,127
1,conv1.0.0,0,0.0018421782879158854,0,-127,127
1,conv1.0.0,1,0.005906589329242706,0,-127,127
1,conv1.0.0,2,0.0016431368421763182,0,-127,127
1,conv1.0.0,3,0.004975759424269199,0,-127,127
1,conv1.0.0,4,0.003213191172108054,0,-127,127
1,conv1.0.0,5,0.004508608486503363,0,-127,127
1,conv1.0.0,6,0.00203009438700974,0,-127,127
1,conv1.0.0,7,0.0020354262087494135,0,-127,127
1,conv1.0.0,8,0.0016930210404098034,0,-127,127
1,conv1.0.0,9,0.0018285798141732812,0,-127,127
1,conv1.0.0,10,0.0038457761984318495,0,-127,127
1,conv1.0.0,11,0.005372838117182255,0,-127,127
1,conv1.0.0,12,0.002450066851451993,0,-127,127
1,conv1.0.0,13,0.00422872556373477,0,-127,127
1,conv1.0.0,14,0.0008809424471110106,0,-127,127
1,conv1.0.0,15,0.0052445195615291595,0,-127,127
2,conv2.0.0,0,0.0031520305201411247,0,-127,127
2,conv2.0.0,1,0.002613940741866827,0,-127,127
2,conv2.0.0,2,0.002663826337084174,0,-127,127
2,conv2.0.0,3,0.006331239826977253,0,-127,127
2,conv2.0.0,4,0.004777733236551285,0,-127,127
2,conv2.0.0,5,0.0021086460910737514,0,-127,127
2,conv2.0.0,6,0.004754372872412205,0,-127,127
2,conv2.0.0,7,0.003558944445103407,0,-127,127
2,conv2.0.0,8,0.004280020948499441,0,-127,127
2,conv2.0.0,9,0.0029025848489254713,0,-127,127
2,conv2.0.0,10,0.0022424529306590557,0,-127,127
2,conv2.0.0,11,0.003325170837342739,0,-127,127
2,conv2.0.0,12,0.0015665831742808223,0,-127,127
2,conv2.0.0,13,0.0020992488134652376,0,-127,127
2,conv2.0.0,14,0.004070589784532785,0,-127,127
2,conv2.0.0,15,0.0016309446655213833,0,-127,127
2,conv2.0.0,16,0.0028217982035130262,0,-127,127
2,conv2.0.0,17,0.0038842943031340837,0,-127,127
2,conv2.0.0,18,0.003978802356868982,0,-127,127
2,conv2.0.0,19,0.002021195599809289,0,-127,127
2,conv2.0.0,20,0.004068942740559578,0,-127,127
2,conv2.0.0,21,0.0032590997871011496,0,-127,127
2,conv2.0.0,22,0.004187878221273422,0,-127,127
2,conv2.0.0,23,0.0023215627297759056,0,-127,127
2,conv2.0.0,24,0.0017704855417832732,0,-127,127
2,conv2.0.0,25,0.0025850594975054264,0,-127,127
2,conv2.0.0,26,0.0022174951154738665,0,-127,127
2,conv2.0.0,27,0.0023102036211639643,0,-127,127
2,conv2.0.0,28,0.002230620477348566,0,-127,127
2,conv2.0.0,29,0.0036056069657206535,0,-127,127
2,conv2.0.0,30,0.0021401785779744387,0,-127,127
2,conv2.0.0,31,0.001785880420356989,0,-127,127
3,conv2.1.0,0,0.0005397367058321834,0,-127,127
3,conv2.1.0,1,0.0019280631095170975,0,-127,127
3,conv2.1.0,2,0.0017945123836398125,0,-127,127
3,conv2.1.0,3,0.0010067705297842622,0,-127,127
3,conv2.1.0,4,0.0014050989411771297,0,-127,127
3,conv2.1.0,5,0.0010576630011200905,0,-127,127
3,conv2.1.0,6,0.0009598663309589028,0,-127,127
3,conv2.1.0,7,0.0007043717196211219,0,-127,127
3,conv2.1.0,8,0.0011936164228245616,0,-127,127
3,conv2.1.0,9,0.002155442489311099,0,-127,127
3,conv2.1.0,10,0.00218015699647367,0,-127,127
3,conv2.1.0,11,0.0009068875224329531,0,-127,127
3,conv2.1.0,12,0.001110569923184812,0,-127,127
3,conv2.1.0,13,0.0012527339858934283,0,-127,127
3,conv2.1.0,14,0.0012956431601196527,0,-127,127
3,conv2.1.0,15,0.0013138750800862908,0,-127,127
3,conv2.1.0,16,0.002143991645425558,0,-127,127
3,conv2.1.0,17,0.001731883967295289,0,-127,127
3,conv2.1.0,18,0.0007766379858367145,0,-127,127
3,conv2.1.0,19,0.0008929452742449939,0,-127,127
3,conv2.1.0,20,0.0009270408772863448,0,-127,127
3,conv2.1.0,21,0.0013299575075507164,0,-127,127
3,conv2.1.0,22,0.0012809867039322853,0,-127,127
3,conv2.1.0,23,0.0011004287516698241,0,-127,127
3,conv2.1.0,24,0.0011268031084910035,0,-127,127
3,conv2.1.0,25,0.002421738812699914,0,-127,127
3,conv2.1.0,26,0.001945906551554799,0,-127,127
3,conv2.1.0,27,0.0010739024728536606,0,-127,127
3,conv2.1.0,28,0.0015575680881738663,0,-127,127
3,conv2.1.0,29,0.0008913413621485233,0,-127,127
3,conv2.1.0,30,0.0015940244775265455,0,-127,127
3,conv2.1.0,31,0.0007975514745339751,0,-127,127
4,conv2.2.0,0,0.0008419739897362888,0,-127,127
4,conv2.2.0,1,0.0027046515606343746,0,-127,127
4,conv2.2.0,2,0.0009178274776786566,0,-127,127
4,conv2.2.0,3,0.0009202826186083257,0,-127,127
4,conv2.2.0,4,0.0020914587657898664,0,-127,127
4,conv2.2.0,5,0.0011987104080617428,0,-127,127
4,conv2.2.0,6,0.0012316224165260792,0,-127,127
4,conv2.2.0,7,0.002050573704764247,0,-127,127
4,conv2.2.0,8,0.0007435163715854287,0,-127,127
4,conv2.2.0,9,0.0016962718218564987,0,-127,127
4,conv2.2.0,10,0.0009733024053275585,0,-127,127
4,conv2.2.0,11,0.0014149532653391361,0,-127,127
4,conv2.2.0,12,0.0017612220253795385,0,-127,127
4,conv2.2.0,13,0.001394159160554409,0,-127,127
4,conv2.2.0,14,0.0014289997052401304,0,-127,127
4,conv2.2.0,15,0.0013116220943629742,0,-127,127
4,conv2.2.0,16,0.002253439277410507,0,-127,127
4,conv2.2.0,17,0.001720299944281578,0,-127,127
4,conv2.2.0,18,0.001566446153447032,0,-127,127
4,conv2.2.0,19,0.0006431596702896059,0,-127,127
4,conv2.2.0,20,0.0018020235002040863,0,-127,127
4,conv2.2.0,21,0.0017781318165361881,0,-127,127
4,conv2.2.0,22,0.001165461726486683,0,-127,127
4,conv2.2.0,23,0.0013496966566890478,0,-127,127
4,conv2.2.0,24,0.0009433375089429319,0,-127,127
4,conv2.2.0,25,0.0014841887168586254,0,-127,127
4,conv2.2.0,26,0.0011567114852368832,0,-127,127
4,conv2.2.0,27,0.0009734943159855902,0,-127,127
4,conv2.2.0,28,0.0022512031719088554,0,-127,127
4,conv2.2.0,29,0.0012315211351960897,0,-127,127
4,conv2.2.0,30,0.0010988909052684903,0,-127,127
4,conv2.2.0,31,0.0015825602458789945,0,-127,127
5,conv3.0.0,0,0.0015871874056756496,0,-127,127
5,conv3.0.0,1,0.0013007241068407893,0,-127,127
5,conv3.0.0,2,0.0013219664106145501,0,-127,127
5,conv3.0.0,3,0.0011097956448793411,0,-127,127
5,conv3.0.0,4,0.0014804069651290774,0,-127,127
5,conv3.0.0,5,0.001102958689443767,0,-127,127
5,conv3.0.0,6,0.001198919489979744,0,-127,127
5,conv3.0.0,7,0.001708376919850707,0,-127,127
5,conv3.0.0,8,0.001267355284653604,0,-127,127
5,conv3.0.0,9,0.0009495612466707826,0,-127,127
5,conv3.0.0,10,0.0013845626963302493,0,-127,127
5,conv3.0.0,11,0.0010560565860942006,0,-127,127
5,conv3.0.0,12,0.001255315844900906,0,-127,127
5,conv3.0.0,13,0.0009252734598703682,0,-127,127
5,conv3.0.0,14,0.0009852375369518995,0,-127,127
5,conv3.0.0,15,0.0016104407841339707,0,-127,127
5,conv3.0.0,16,0.0019348899368196726,0,-127,127
5,conv3.0.0,17,0.0015661533689126372,0,-127,127
5,conv3.0.0,18,0.0012197139440104365,0,-127,127
5,conv3.0.0,19,0.0008836204069666564,0,-127,127
5,conv3.0.0,20,0.0011618556454777718,0,-127,127
5,conv3.0.0,21,0.0016528686974197626,0,-127,127
5,conv3.0.0,22,0.001609506201930344,0,-127,127
5,conv3.0.0,23,0.001442915410734713,0,-127,127
5,conv3.0.0,24,0.0017044395208358765,0,-127,127
5,conv3.0.0,25,0.0012047408381476998,0,-127,127
5,conv3.0.0,26,0.0010000503389164805,0,-127,127
5,conv3.0.0,27,0.0017073106719180942,0,-127,127
5,conv3.0.0,28,0.0022836700081825256,0,-127,127
