layer_id,module_name,channel,scale,zero_point,qmin,qmax
0,conv_input.0,0,0.012338944710791111,0,-127,127
0,conv_input.0,1,0.010001203045248985,0,-127,127
0,conv_input.0,2,0.05654573068022728,0,-127,127
0,conv_input.0,3,0.005294721107929945,0,-127,127
0,conv_input.0,4,0.004737938288599253,0,-127,127
0,conv_input.0,5,0.032785870134830475,0,-127,127
0,conv_input.0,6,0.007897677831351757,0,-127,127
0,conv_input.0,7,0.021640390157699585,0,-127,127
0,conv_input.0,8,0.03411514684557915,0,-127,127
0,conv_input.0,9,0.032132070511579514,0,-127,127
0,conv_input.0,10,0.014800372533500195,0,-127,127
0,conv_input.0,11,0.03113962523639202,0,-127,127
0,conv_input.0,12,0.032065559178590775,0,-127,127
0,conv_input.0,13,0.017710719257593155,0,-127,127
0,conv_input.0,14,0.0047624497674405575,0,-127,127
0,conv_input.0,15,0.01619548350572586,0,-127,127
1,conv1.0.0,0,0.006924503017216921,0,-127,127
1,conv1.0.0,1,0.008539271540939808,0,-127,127
1,conv1.0.0,2,0.005155477207154036,0,-127,127
1,conv1.0.0,3,0.005390333477407694,0,-127,127
1,conv1.0.0,4,0.005720973014831543,0,-127,127
1,conv1.0.0,5,0.006539554800838232,0,-127,127
1,conv1.0.0,6,0.005181268788874149,0,-127,127
1,conv1.0.0,7,0.005265896674245596,0,-127,127
1,conv1.0.0,8,0.00426463270559907,0,-127,127
1,conv1.0.0,9,0.004993783310055733,0,-127,127
1,conv1.0.0,10,0.004999489989131689,0,-127,127
1,conv1.0.0,11,0.006357420701533556,0,-127,127
1,conv1.0.0,12,0.005588051397353411,0,-127,127
1,conv1.0.0,13,0.005764144007116556,0,-127,127
1,conv1.0.0,14,0.005181592423468828,0,-127,127
1,conv1.0.0,15,0.007763852830976248,0,-127,127
2,conv2.0.0,0,0.005869975779205561,0,-127,127
2,conv2.0.0,1,0.004850916098803282,0,-127,127
2,conv2.0.0,2,0.005962170194834471,0,-127,127
2,conv2.0.0,3,0.008112884126603603,0,-127,127
2,conv2.0.0,4,0.005941948387771845,0,-127,127
2,conv2.0.0,5,0.005575545597821474,0,-127,127
2,conv2.0.0,6,0.006380223669111729,0,-127,127
2,conv2.0.0,7,0.005933750420808792,0,-127,127
2,conv2.0.0,8,0.005490799900144339,0,-127,127
2,conv2.0.0,9,0.005198987200856209,0,-127,127
2,conv2.0.0,10,0.005229607690125704,0,-127,127
2,conv2.0.0,11,0.005009680520743132,0,-127,127
2,conv2.0.0,12,0.005929867271333933,0,-127,127
2,conv2.0.0,13,0.006113263312727213,0,-127,127
2,conv2.0.0,14,0.006353727541863918,0,-127,127
2,conv2.0.0,15,0.005683979019522667,0,-127,127
2,conv2.0.0,16,0.00498838210478425,0,-127,127
2,conv2.0.0,17,0.007608805783092976,0,-127,127
2,conv2.0.0,18,0.005981208756566048,0,-127,127
2,conv2.0.0,19,0.005508641246706247,0,-127,127
2,conv2.0.0,20,0.007496488746255636,0,-127,127
2,conv2.0.0,21,0.005677550565451384,0,-127,127
2,conv2.0.0,22,0.008570486679673195,0,-127,127
2,conv2.0.0,23,0.005103666335344315,0,-127,127
2,conv2.0.0,24,0.004880946129560471,0,-127,127
2,conv2.0.0,25,0.005637799855321646,0,-127,127
2,conv2.0.0,26,0.005323374178260565,0,-127,127
2,conv2.0.0,27,0.00473757553845644,0,-127,127
2,conv2.0.0,28,0.005079725757241249,0,-127,127
